Timestep,Primary Energy Factor kWh/kWh delivered,Emissions Factor kgCO2e/kWh,Emissions Factor kgCO2e/kWh including out-of-scope emissions
16222,1.624282154,0.05634177,0.05634177
16223,1.592068583,0.050585545,0.050585545
16224,1.661052198,0.056414554,0.056414554
16225,1.722212058,0.061337272,0.061337272
16226,1.729426665,0.059885835,0.059885835
16227,1.696633446,0.056478465,0.056478465
16228,1.693899884,0.057740989,0.057740989
16229,1.676831881,0.055952705,0.055952705
16230,1.650619519,0.053844317,0.053844317
16231,1.588163431,0.045696724,0.045696724
16232,1.574882169,0.045442979,0.045442979
16233,1.569903401,0.043969011,0.043969011
16234,1.575210679,0.048669457,0.048669457
16235,1.540985869,0.048329809,0.048329809
16236,1.609708043,0.061749107,0.061749107
16237,1.624521844,0.066437325,0.066437325
16238,1.634493364,0.067972554,0.067972554
16239,1.658788157,0.073420492,0.073420492
16240,1.616988378,0.071298838,0.071298838
16241,1.631523023,0.073981548,0.073981548
16242,1.647333389,0.077204097,0.077204097
16243,1.646797942,0.078185272,0.078185272
16244,1.64604201,0.077578266,0.077578266
16245,1.619557672,0.07445473,0.07445473
16246,1.613661443,0.072508529,0.072508529
16247,1.603518928,0.071340793,0.071340793
16248,1.558398726,0.065047867,0.065047867
16249,1.575155489,0.0671723,0.0671723
16250,1.559589133,0.064789278,0.064789278
16251,1.538672743,0.0597657,0.0597657
16252,1.515433413,0.055683164,0.055683164
16253,1.521922535,0.055391669,0.055391669
16254,1.516327325,0.05422282,0.05422282
16255,1.548272149,0.057171337,0.057171337
16256,1.579704172,0.061300961,0.061300961
16257,1.605901225,0.064512678,0.064512678
16258,1.673801335,0.073029662,0.073029662
16259,1.678179131,0.075127182,0.075127182
16260,1.679526006,0.075943133,0.075943133
16261,1.672402173,0.075179222,0.075179222
16262,1.663376238,0.074909238,0.074909238
16263,1.62341336,0.070567162,0.070567162
16264,1.586098151,0.066163805,0.066163805
16265,1.572173528,0.063134585,0.063134585
16266,1.540873839,0.058755432,0.058755432
16267,1.514194542,0.053919733,0.053919733
16268,1.567981095,0.061944244,0.061944244
16269,1.557020541,0.060210196,0.060210196
16270,1.56377353,0.058320426,0.058320426
16271,1.57608434,0.058535972,0.058535972
16272,1.628908293,0.067168697,0.067168697
16273,1.696487766,0.077010283,0.077010283
16274,1.705604443,0.078534441,0.078534441
16275,1.698216437,0.075411913,0.075411913
16276,1.72650233,0.080559922,0.080559922
16277,1.727602455,0.080278653,0.080278653
16278,1.696825528,0.074742495,0.074742495
16279,1.684685776,0.07134939,0.07134939
16280,1.733828366,0.075705857,0.075705857
16281,1.700306514,0.069336011,0.069336011
16282,1.735017237,0.07326347,0.07326347
16283,1.702030411,0.069918431,0.069918431
16284,1.738156271,0.08289321,0.08289321
16285,1.72403069,0.087511676,0.087511676
16286,1.718812046,0.091190678,0.091190678
16287,1.7395597,0.098109065,0.098109065
16288,1.754654006,0.100971296,0.100971296
16289,1.749146586,0.099650544,0.099650544
16290,1.745929251,0.101117431,0.101117431
16291,1.746682853,0.101988716,0.101988716
16292,1.750299053,0.099884021,0.099884021
16293,1.723802214,0.09424169,0.09424169
16294,1.767546718,0.100698407,0.100698407
16295,1.787076009,0.103402254,0.103402254
16296,1.738381722,0.096414528,0.096414528
16297,1.712866867,0.091473775,0.091473775
16298,1.726847143,0.093734855,0.093734855
16299,1.735420271,0.093145537,0.093145537
16300,1.740265434,0.096225951,0.096225951
16301,1.75292788,0.099161009,0.099161009
16302,1.765875242,0.098241157,0.098241157
16303,1.810129684,0.107923027,0.107923027
16304,1.86110321,0.118397286,0.118397286
16305,1.848953692,0.117047755,0.117047755
16306,1.864878847,0.119352725,0.119352725
16307,1.878345716,0.123345917,0.123345917
16308,1.859943374,0.127809353,0.127809353
16309,1.817462759,0.122569971,0.122569971
16310,1.813265619,0.125354611,0.125354611
16311,1.838456346,0.129250931,0.129250931
16312,1.886890513,0.131894783,0.131894783
16313,1.84994352,0.122049394,0.122049394
16314,1.848988454,0.118219382,0.118219382
16315,1.874500132,0.117835158,0.117835158
16316,1.831963981,0.102396481,0.102396481
16317,1.784475689,0.094768012,0.094768012
16318,1.740111228,0.084179462,0.084179462
16319,1.763278594,0.083082718,0.083082718
16320,1.767311039,0.083132154,0.083132154
16321,1.820500618,0.088441864,0.088441864
16322,1.868774823,0.090889877,0.090889877
16323,1.909008128,0.092538714,0.092538714
16324,1.90207108,0.086782792,0.086782792
16325,1.972002147,0.072290571,0.072290571
16326,2.053175373,0.084770004,0.084770004
16327,2.007666137,0.08379723,0.08379723
16328,1.95428386,0.078780522,0.078780522
16329,1.976477764,0.075105227,0.075105227
16330,1.900451246,0.076459029,0.076459029
16331,1.862065608,0.071266206,0.071266206
16332,1.95982441,0.071543376,0.071543376
16333,1.88114795,0.070447026,0.070447026
16334,1.890758613,0.074188175,0.074188175
16335,1.91993356,0.076631137,0.076631137
16336,1.968430048,0.07835878,0.07835878
16337,1.958701351,0.088001341,0.088001341
16338,1.909257181,0.082144989,0.082144989
16339,1.76869785,0.073399036,0.073399036
16340,1.743323628,0.069342043,0.069342043
16341,1.657926139,0.069424382,0.069424382
16342,1.651202337,0.06988127,0.06988127
16343,1.66956002,0.071112778,0.071112778
16344,1.720169396,0.076828168,0.076828168
16345,1.696548774,0.076102931,0.076102931
16346,1.760418684,0.082707721,0.082707721
16347,1.801303281,0.090035919,0.090035919
16348,1.884676833,0.101590771,0.101590771
16349,2.029244314,0.10939451,0.10939451
16350,2.214316902,0.107278807,0.107278807
16351,2.300920533,0.116684073,0.116684073
16352,2.438577695,0.118485547,0.118485547
16353,2.482905036,0.124856682,0.124856682
16354,2.422699926,0.129893767,0.129893767
16355,2.384943629,0.127159954,0.127159954
16356,2.394934415,0.122760922,0.122760922
16357,2.34766717,0.11098689,0.11098689
16358,2.346085834,0.098184516,0.098184516
16359,2.329895892,0.09248955,0.09248955
16360,2.291510144,0.08960557,0.08960557
16361,2.302943228,0.080068463,0.080068463
16362,2.302647395,0.080806826,0.080806826
16363,2.232422113,0.075560776,0.075560776
16364,2.053884276,0.062770143,0.062770143
16365,1.942570208,0.061230621,0.061230621
16366,1.755681266,0.05855467,0.05855467
16367,1.720583337,0.059102479,0.059102479
16368,1.73594258,0.061130358,0.061130358
16369,1.71298965,0.057896483,0.057896483
16370,1.684759834,0.053949626,0.053949626
16371,1.654958432,0.049804511,0.049804511
16372,1.513621021,0.03244162,0.03244162
16373,1.524268165,0.034899314,0.034899314
16374,1.502273753,0.031063782,0.031063782
16375,1.520179892,0.034155738,0.034155738
16376,1.562931144,0.038900603,0.038900603
16377,1.565822193,0.041679095,0.041679095
16378,1.639332587,0.050098496,0.050098496
16379,1.681501357,0.055665411,0.055665411
16380,1.734736468,0.06194901,0.06194901
16381,1.735699789,0.061636914,0.061636914
16382,1.727170043,0.061539223,0.061539223
16383,1.689840382,0.060897453,0.060897453
16384,1.693582643,0.062461839,0.062461839
16385,1.631527762,0.056364632,0.056364632
16386,1.585271309,0.051965344,0.051965344
16387,1.543823978,0.048473167,0.048473167
16388,1.543796176,0.050024707,0.050024707
16389,1.572527919,0.054531327,0.054531327
16390,1.631599279,0.061630737,0.061630737
16391,1.654777054,0.064482961,0.064482961
16392,1.628241263,0.058871587,0.058871587
16393,1.621265826,0.056023684,0.056023684
16394,1.614558225,0.055132283,0.055132283
16395,1.598885375,0.052305558,0.052305558
16396,1.615287684,0.054017255,0.054017255
16397,1.652336026,0.058890752,0.058890752
16398,1.658063669,0.060400268,0.060400268
16399,1.62831391,0.056250238,0.056250238
16400,1.627994618,0.059170825,0.059170825
16401,1.597971402,0.056889996,0.056889996
16402,1.6126707,0.059711083,0.059711083
16403,1.587499363,0.056806088,0.056806088
16404,1.580936042,0.058088748,0.058088748
16405,1.583938772,0.057290883,0.057290883
16406,1.588736861,0.056541098,0.056541098
16407,1.559682858,0.053028994,0.053028994
16408,1.553937328,0.052185302,0.052185302
16409,1.557047137,0.049636627,0.049636627
16410,1.56520617,0.05037348,0.05037348
16411,1.585015357,0.050804314,0.050804314
16412,1.686539017,0.059691817,0.059691817
16413,1.701138049,0.058334458,0.058334458
16414,1.687842294,0.054687179,0.054687179
16415,1.710288285,0.054926762,0.054926762
