event_count,decile,day_name,day_wk_mon1,simple_labels2_based_on_900k_sample,median_event_volume,mean_event_volume,median_dur,mean_dur
0.819,5,Thursday,4,2_shower,33.58619298,35.08340772,338.4791281,344.5066872
0.247598253,5,Thursday,4,3_bath,62.46068044,64.93697963,648.4791281,650.2085967
0.118,5,Thursday,4,2b_shower_big,91.49180147,100.4495334,1006.479128,1057.104934
20.223,5,Friday,5,0_small_tap,1.359450939,1.464305913,14.47912809,15.59881921
2.084,5,Friday,5,1_long_tap,10.56256296,10.78607797,109.4791281,111.1084717
0.842,5,Friday,5,2_shower,32.89948113,35.11997353,348.4791281,347.6490886
0.254366812,5,Friday,5,3_bath,61.81840447,64.91417253,651.4791281,648.247601
0.111,5,Friday,5,2b_shower_big,90.8995477,98.13503763,1001.479128,1077.94864
20.793,5,Saturday,6,0_small_tap,1.368598525,1.470852748,15.47912809,15.67603929
2.138,5,Saturday,6,1_long_tap,10.35623905,10.78558695,110.4791281,111.0080856
0.854,5,Saturday,6,2_shower,33.80220749,35.56328551,345.4791281,348.8150965
0.262227074,5,Saturday,6,3_bath,61.75471394,63.83172088,644.4791281,644.247601
0.132,5,Saturday,6,2b_shower_big,93.86854338,96.69007201,1008.479128,1036.609847
22.116,5,Sunday,7,0_small_tap,1.386089934,1.479482965,15.47912809,15.67217828
2.323,5,Sunday,7,1_long_tap,10.34511568,10.70366445,111.4791281,110.7725644
0.89,5,Sunday,7,2_shower,34.03252263,35.38508695,346.4791281,347.5732457
0.272052402,5,Sunday,7,3_bath,62.56076334,64.09704908,647.4791281,646.0276718
0.126,5,Sunday,7,2b_shower_big,93.41116894,100.4938962,983.4791281,1042.782158
20.808,6,Monday,1,0_small_tap,1.341774045,1.411752402,14.73644978,15.26422756
2.44,6,Monday,1,1_long_tap,10.36390167,10.52662209,108.7364498,108.9547038
0.966,6,Monday,1,2_shower,36.11650063,37.21889539,348.7364498,351.1284498
0.286462882,6,Monday,1,3_bath,67.65157807,68.74333878,647.7364498,647.4046316
0.118,6,Monday,1,2b_shower_big,100.3642351,101.3041099,1007.73645,1053.023875
20.605,6,Tuesday,2,0_small_tap,1.343777059,1.415138557,14.73644978,15.29200534
2.467,6,Tuesday,2,1_long_tap,10.30071224,10.56432587,107.7364498,109.4864498
0.975,6,Tuesday,2,2_shower,36.41294211,37.38213287,351.7364498,352.9501595
0.290829694,6,Tuesday,2,3_bath,67.84407219,68.85350256,641.7364498,641.1114498
0.119,6,Tuesday,2,2b_shower_big,97.38675465,101.8128101,962.7364498,1034.896706
19.579,6,Wednesday,3,0_small_tap,1.340127292,1.416059405,14.73644978,15.33565613
2.352,6,Wednesday,3,1_long_tap,10.49950909,10.59075271,108.7364498,109.3713704
0.943,6,Wednesday,3,2_shower,36.62720668,37.13745538,347.7364498,352.1004498
0.284061135,6,Wednesday,3,3_bath,67.67289385,69.07125481,646.7364498,646.2387972
0.115,6,Wednesday,3,2b_shower_big,95.21019634,99.86259292,971.7364498,1035.768297
19.63,6,Thursday,4,0_small_tap,1.364631253,1.423172723,14.73644978,15.4070847
2.347,6,Thursday,4,1_long_tap,10.38363906,10.57778569,108.7364498,109.6531165
0.916,6,Thursday,4,2_shower,36.28376461,37.21865347,350.2364498,352.3044498
0.275764192,6,Thursday,4,3_bath,68.16263588,68.63784988,648.7364498,649.4078113
0.114,6,Thursday,4,2b_shower_big,101.2867343,104.0768989,991.7364498,1041.899972
20.16,6,Friday,5,0_small_tap,1.353193187,1.414336681,15.73644978,15.33962438
2.363,6,Friday,5,1_long_tap,10.23734698,10.55260044,108.7364498,109.6808942
0.954,6,Friday,5,2_shower,36.673101,37.07663707,351.2364498,352.2004498
0.28930131,6,Friday,5,3_bath,67.68692342,69.31836703,648.7364498,645.2387754
0.13,6,Friday,5,2b_shower_big,99.81313436,102.5387316,998.7364498,1032.12395
21.157,6,Saturday,6,0_small_tap,1.338957275,1.417155,14.73644978,15.34756089
2.446,6,Saturday,6,1_long_tap,10.3666003,10.53277513,108.7364498,108.8991482
0.963,6,Saturday,6,2_shower,35.53664545,36.72387626,348.7364498,352.0444498
0.291921397,6,Saturday,6,3_bath,69.35292814,69.13622094,645.7364498,648.3579451
0.13,6,Saturday,6,2b_shower_big,102.8317585,104.0851621,981.2364498,1047.230277
22.415,6,Sunday,7,0_small_tap,1.321166316,1.416409813,15.23644978,15.36343391
2.684,6,Sunday,7,1_long_tap,10.46908993,10.49076436,106.7364498,108.3991482
1.008,6,Sunday,7,2_shower,36.23578916,37.67911704,351.7364498,354.5075341
0.300873362,6,Sunday,7,3_bath,68.86957778,68.41933755,650.7364498,647.4624772
0.126,6,Sunday,7,2b_shower_big,102.6242266,104.1159081,1012.73645,1054.921233
21.739,7,Monday,1,0_small_tap,1.177371889,1.260241359,13.96905197,13.81137562
2.469,7,Monday,1,1_long_tap,10.34461612,10.75267418,109.969052,110.4379317
1.123,7,Monday,1,2_shower,35.46244394,37.84802176,348.469052,351.244052
0.343449782,7,Monday,1,3_bath,69.82454296,69.8696096,651.969052,648.8350807
0.169,7,Monday,1,2b_shower_big,104.1102975,110.2483559,1030.969052,1086.302385
21.033,7,Tuesday,2,0_small_tap,1.206298044,1.256614798,13.96905197,13.74913496
2.42,7,Tuesday,2,1_long_tap,10.57444443,10.75828675,109.969052,110.4254835
1.148,7,Tuesday,2,2_shower,36.13684885,38.17326066,351.969052,353.815525
0.347598253,7,Tuesday,2,3_bath,69.00207675,69.62548805,649.969052,649.9325223
0.169,7,Tuesday,2,2b_shower_big,101.6693159,105.3480863,983.969052,1048.161142
20.271,7,Wednesday,3,0_small_tap,1.175580303,1.254587698,13.96905197,13.72838807
2.337,7,Wednesday,3,1_long_tap,10.33226792,10.68467413,109.969052,109.9483051
1.099,7,Wednesday,3,2_shower,36.25307678,37.90950832,353.969052,353.556552
0.334279476,7,Wednesday,3,3_bath,68.32281932,70.51076614,648.969052,647.7585257
0.16,7,Wednesday,3,2b_shower_big,104.0985523,108.1750478,1007.969052,1054.286971
20.335,7,Thursday,4,0_small_tap,1.197757897,1.270791714,13.96905197,13.86946691
2.345,7,Thursday,4,1_long_tap,10.46490319,10.82216614,110.969052,110.7408362
1.09,7,Thursday,4,2_shower,36.18267658,38.11271307,353.969052,353.606552
0.333842795,7,Thursday,4,3_bath,69.62553158,70.48288665,651.969052,651.2488685
0.171,7,Thursday,4,2b_shower_big,103.2585106,106.3527846,973.469052,1043.952198
21.071,7,Friday,5,0_small_tap,1.190742629,1.248298613,13.96905197,13.72423869
2.39,7,Friday,5,1_long_tap,10.29104252,10.69092662,109.969052,110.2097159
1.113,7,Friday,5,2_shower,35.92148461,37.93285618,350.969052,352.9109607
0.338427948,7,Friday,5,3_bath,68.73230495,70.88820978,651.969052,649.219052
0.172,7,Friday,5,2b_shower_big,105.3562972,109.3407417,1024.969052,1070.5234
22.025,7,Saturday,6,0_small_tap,1.148766782,1.255795603,13.96905197,13.74498558
2.506,7,Saturday,6,1_long_tap,10.3751938,10.65368998,109.969052,109.6412512
1.1,7,Saturday,6,2_shower,36.30213861,38.09083048,349.969052,354.2857187
0.338209607,7,Saturday,6,3_bath,69.53326257,70.59819842,651.969052,649.9145065
0.179,7,Saturday,6,2b_shower_big,102.5949196,104.7854635,989.969052,1032.760261
23.433,7,Sunday,7,0_small_tap,1.200474977,1.266184261,13.96905197,13.87776566
2.782,7,Sunday,7,1_long_tap,10.41557132,10.65806297,108.969052,109.4130354
1.163,7,Sunday,7,2_shower,36.25027043,37.94821854,351.969052,354.9898853
0.369650655,7,Sunday,7,3_bath,69.26245624,70.57084951,650.969052,649.5653823
0.215,7,Sunday,7,2b_shower_big,102.6192573,105.6538108,1000.969052,1062.904536
23.953,8,Monday,1,0_small_tap,1.209976884,1.338318166,13.93506649,14.28961194
2.79,8,Monday,1,1_long_tap,10.68112128,11.03768142,110.9350665,111.7577938
