Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
2003,7,30,8,,7,16.7,15.4,86.5,1014.4,240,10,48.3,48.3,,,0,0,0,0,0,0
2003,7,30,9,,7,17.4,15.9,84.8,1014.7,250,8,116.4,114.7,,,0,0,0,0,0,0
2003,7,30,10,,7,18.7,15.2,66.9,1014.8,280,9,233.6,214.7,,,0,0,0,0,0,0
2003,7,30,11,,6,19.5,15.6,64.3,1014.9,270,7,350.3,316.1,,,0,0,0,0,0,0
2003,7,30,12,,4,21.1,15.7,53.8,1014.9,250,7,708.3,342.2,,,0,0,0,0,0,0
2003,7,30,13,,5,20.5,15.9,59.5,1014.9,260,6,665.3,425.6,,,0,0,0,0,0,0
2003,7,30,14,,3,21.3,15.9,54,1014.9,260,8,873.3,284.7,,,0,0,0,0,0,0
2003,7,30,15,,5,23,17.1,52.4,1014.9,240,9,669.7,361.9,,,0,0,0,0,0,0
2003,7,30,16,,7,22.6,16.3,49,1014.7,270,8,442.2,266.7,,,0,0,0,0,0,0
2003,7,30,17,,5,22.6,16.4,49.7,1014.6,280,8,335.6,276.1,,,0,0,0,0,0,0
2003,7,30,18,,7,22.3,16.8,54.5,1014.9,280,11,131.1,125.3,,,0,0,0,0,0,0
2003,7,30,19,,3,21.9,16.7,56.3,1015,280,9,229.4,108.3,,,0,0,0,0,0,0
2003,7,30,20,,3,21.4,16.9,61.2,1015.2,280,10,98.1,60.6,,,0,0,0,0,0,0
2003,7,30,21,,7,19.8,16.6,70.6,1015.6,280,5,9.7,8.3,,,0,0,0,0,0,0
2003,7,30,22,,5,18.8,16.3,76,1015.9,280,5,0,0,,,0,0,0,0,0,0
2003,7,30,23,,1,17.7,16,83,1016.3,280,5,0,0,,,0,0,0,0,0,0
2003,7,30,24,,0,16.7,15,82.4,1016.3,310,5,0,0,,,0,0,0,0,0,0
2003,7,31,1,,0,15.7,14.5,87.2,1016.5,0,0,0,0,,,0,0,0,0,0,0
2003,7,31,2,,3,14.7,13.8,90,1016.5,0,0,0,0,,,0,0,0,0,0,0
2003,7,31,3,,5,14.6,13.8,91,1016.3,0,0,0,0,,,0,0,0,0,0,0
2003,7,31,4,,7,15.6,14.4,87.1,1016.5,280,4,0,0,,,0,0,0,0,0,0
2003,7,31,5,,8,15.7,14.4,86,1016.4,0,0,0,0,,,0,0,0,0,0,0
2003,7,31,6,,7,15.8,14.4,85,1016.5,270,3,16.9,16.7,,,0,0,0,0,0,0
2003,7,31,7,,7,16.4,14.5,80.3,1016.7,280,4,84.4,81.4,,,0,0,0,0,0,0
2003,7,31,8,,7,17.1,14.7,75.8,1017.2,280,4,153.9,123.6,,,0,0,0,0,0,0
2003,7,31,9,,7,18.3,15.3,71.1,1017,250,3,283.3,250.6,,,0,0,0,0,0,0
2003,7,31,10,,7,18.8,15.6,69.7,1017.3,260,5,259.4,238.6,,,0,0,0,0,0,0
2003,7,31,11,,8,19.5,15.7,65.1,1017.4,240,6,523.9,356.4,,,0,0,0,0,0,0
2003,7,31,12,,8,19,15.6,68.1,1017.5,260,8,220.6,211.1,,,0,0,0,0,0,0
2003,7,31,13,,7,19.9,16.5,68.9,1017.5,220,5,368.6,318.1,,,0,0,0,0,0,0
2003,7,31,14,,7,20.5,16.7,66,1017.6,230,7,536.9,386.4,,,0,0,0,0,0,0
2003,7,31,15,,7,21.7,16.9,59.1,1017.4,210,8,518.3,399.4,,,0,0,0,0,0,0
2003,7,31,16,,7,21.8,16.9,58.5,1016.9,200,8,445.3,368.6,,,0,0,0,0,0,0
2003,7,31,17,,7,21.7,16.5,56.1,1016.7,200,10,316.4,280.3,,,0,0,0,0,0,0
2003,7,31,18,,7,21.3,16.4,57.9,1016.4,220,10,238.6,210.6,,,0,0,0,0,0,0
2003,7,31,19,,7,19.8,13.8,47.2,1016.3,210,13,108.9,106.4,,,0,0,0,0,0,0
2003,7,31,20,,7,18.8,14.1,56.5,1016.7,200,11,51.4,50.8,,,0,0,0,0,0,0
2003,7,31,21,,7,17.9,14.3,65.2,1017.2,210,9,5,5,,,0,0,0,0,0,0
2003,7,31,22,,7,17.3,14.2,69.3,1017.5,220,8,0,0,,,0,0,0,0,0,0
2003,7,31,23,,7,16.8,13.8,69.7,1017.6,210,8,0,0,,,0,0,0,0,0,0
2003,7,31,24,,4,16.4,13.8,73.3,1017.7,210,7,0,0,,,0,0,0,0,0,0
2003,8,1,1,,7,16.1,13.7,75,1017.6,210,7,0,0,,,0,0,0,0,0,0
2003,8,1,2,,7,16.1,13.9,77,1017.1,200,7,0,0,,,0,0,0,0,0,0
2003,8,1,3,,7,15.9,14,80,1017,200,8,0,0,,,0,0,0,0,0,0
2003,8,1,4,,8,15.6,14.3,86,1017.1,200,6,0,0,,,0,0,0,0,0,0
2003,8,1,5,,2,15.1,14.5,93.4,1017.1,210,7,0,0,,,0,0,0,0,0,0
2003,8,1,6,,8,15.1,14.6,94.4,1016.8,190,7,1.7,1.1,,,0,0,0,0,0,0
2003,8,1,7,,8,15.6,14.8,91.3,1016.9,190,6,11.4,10.8,,,0,0,0,0,0,0
2003,8,1,8,,8,16.4,14.8,83.3,1017.2,200,7,35.8,35.6,,,0,0,0,0,0,0
2003,8,1,9,,8,16.5,15.1,85.4,1017.6,210,7,56.7,56.4,,,0,0,0,0,0,0
2003,8,1,10,,8,15.9,15.4,94.6,1017.8,210,9,107.8,106.7,,,0,0,0,0,0,0
2003,8,1,11,,8,16.1,15.6,94.6,1018,210,7,81.4,80.3,,,0,0,0,0,0,0
2003,8,1,12,,8,17.6,16.5,88.9,1017.9,210,9,105.6,105.6,,,0,0,0,0,0,0
2003,8,1,13,,8,18.1,16.2,81.2,1017.8,200,9,265,263.6,,,0,0,0,0,0,0
2003,8,1,14,,8,18.7,16.7,80.6,1017.8,220,8,179.4,178.1,,,0,0,0,0,0,0
2003,8,1,15,,8,18.7,16.8,81.5,1018,200,7,192.5,191.4,,,0,0,0,0,0,0
2003,8,1,16,,8,18.9,17.1,82.6,1018.2,210,8,126.9,125.8,,,0,0,0,0,0,0
2003,8,1,17,,8,19,17,80.8,1018.2,220,8,137.5,136.7,,,0,0,0,0,0,0
2003,8,1,18,,8,19,17.1,81.7,1018.2,220,7,107.2,106.4,,,0,0,0,0,0,0
2003,8,1,19,,8,19.2,17.3,81.8,1018.1,210,7,44.2,43.9,,,0,0,0,0,0,0
2003,8,1,20,,8,18.6,17,84.3,1018.6,210,7,21.1,20.8,,,0,0,0,0,0,0
2003,8,1,21,,8,18.6,17,84.3,1019,220,4,4.4,4.2,,,0,0,0,0,0,0
2003,8,1,22,,8,17.7,17,92.8,1019.5,220,5,0,0,,,0,0,0,0,0,0
2003,8,1,23,,8,17.6,16.8,91.9,1019.9,230,4,0,0,,,0,0,0,0,0,0
2003,8,1,24,,7,16.9,16.2,92.7,1020,220,1,0,0,,,0,0,0,0,0,0
2003,8,2,1,,8,16.3,15.8,94.7,1020.4,0,0,0,0,,,0,0,0,0,0,0
2003,8,2,2,,6,15.9,15.2,92.5,1020.7,280,4,0,0,,,0,0,0,0,0,0
2003,8,2,3,,1,14.2,13.5,92,1020.8,310,3,0,0,,,0,0,0,0,0,0
2003,8,2,4,,0,12.5,12.2,96.4,1021,0,0,0,0,,,0,0,0,0,0,0
2003,8,2,5,,0,11.5,11,93.7,1021.4,0,0,0,0,,,0,0,0,0,0,0
2003,8,2,6,,2,10.9,10.6,96.2,1021.6,260,2,15.8,10.6,,,0,0,0,0,0,0
2003,8,2,7,,5,12.1,11.4,91.4,1022.1,220,2,117.2,53.9,,,0,0,0,0,0,0
2003,8,2,8,,7,14.1,12.4,80.9,1022.6,310,2,268.1,104.2,,,0,0,0,0,0,0
2003,8,2,9,,7,16.2,13.2,69.1,1022.9,330,7,429.7,101.9,,,0,0,0,0,0,0
2003,8,2,10,,7,18,13.8,59.8,1022.9,350,3,592.8,97.5,,,0,0,0,0,0,0
2003,8,2,11,,6,19.7,14.9,56.8,1022.8,310,1,718.6,94.7,,,0,0,0,0,0,0
2003,8,2,12,,3,19.8,14.5,52.8,1022.5,140,2,803.6,85.6,,,0,0,0,0,0,0
2003,8,2,13,,5,21.8,15.2,45.5,1022.4,220,3,850.6,93.6,,,0,0,0,0,0,0
2003,8,2,14,,6,22.2,15,41.8,1022.4,280,4,847.2,89.7,,,0,0,0,0,0,0
2003,8,2,15,,7,23.1,15.8,42.4,1022.1,320,3,791.4,82.8,,,0,0,0,0,0,0
2003,8,2,16,,5,24.2,16,38,1021.9,250,4,705.3,74.7,,,0,0,0,0,0,0
2003,8,2,17,,1,24.6,15.9,35.5,1021.4,230,3,575.6,66.1,,,0,0,0,0,0,0
2003,8,2,18,,1,24.9,16.1,35.3,1021.2,240,3,421.9,58.9,,,0,0,0,0,0,0
2003,8,2,19,,1,24.1,15.8,37.3,1021,250,2,259.7,47.2,,,0,0,0,0,0,0
2003,8,2,20,,0,23.9,16.3,41.6,1021.3,0,0,90.6,30.8,,,0,0,0,0,0,0
2003,8,2,21,,0,21.3,15.8,53.2,1021.6,0,0,12.5,7.8,,,0,0,0,0,0,0
2003,8,2,22,,0,19,15.2,64.5,1022,0,0,0,0,,,0,0,0,0,0,0
2003,8,2,23,,0,17.2,13.7,65.3,1022.1,330,2,0,0,,,0,0,0,0,0,0
2003,8,2,24,,0,15.9,13.4,73.8,1022.3,0,0,0,0,,,0,0,0,0,0,0
2003,8,3,1,,0,14.2,12.5,80.9,1022.4,0,0,0,0,,,0,0,0,0,0,0
2003,8,3,2,,0,13.1,11.7,83.6,1022.4,0,0,0,0,,,0,0,0,0,0,0
2003,8,3,3,,0,12.6,11.4,85.7,1022.1,0,0,0,0,,,0,0,0,0,0,0
2003,8,3,4,,0,11.1,10.5,92.4,1022.1,0,0,0,0,,,0,0,0,0,0,0
2003,8,3,5,,0,10.5,10,93.5,1022.2,0,0,0,0,,,0,0,0,0,0,0
2003,8,3,6,,0,11,10.2,89.9,1022.5,0,0,14.2,9.4,,,0,0,0,0,0,0
2003,8,3,7,,1,12.4,11.4,87.9,1022.7,0,0,113.9,39.4,,,0,0,0,0,0,0
2003,8,3,8,,1,15.6,13.2,74.6,1022.9,320,2,264.4,58.6,,,0,0,0,0,0,0
2003,8,3,9,,1,17.9,14.8,69.7,1023,220,2,425.3,68.6,,,0,0,0,0,0,0
2003,8,3,10,,1,20.9,16,57.4,1023,220,2,583.3,75,,,0,0,0,0,0,0
2003,8,3,11,,1,22.7,16.6,50.4,1022.8,270,2,706.7,80.3,,,0,0,0,0,0,0
2003,8,3,12,,1,23.9,16.9,45.6,1022.6,310,2,793.9,78.9,,,0,0,0,0,0,0
2003,8,3,13,,4,25.1,17,40,1022.3,80,3,829.7,84.4,,,0,0,0,0,0,0
2003,8,3,14,,6,26.5,17.5,36.5,1022.2,350,3,827.8,99.7,,,0,0,0,0,0,0
2003,8,3,15,,7,28.3,17.6,29.6,1021.7,90,3,783.1,125.6,,,0,0,0,0,0,0
2003,8,3,16,,7,28.1,16.9,26.6,1021.6,220,4,652.8,161.1,,,0,0,0,0,0,0
2003,8,3,17,,7,28.4,17.2,27.1,1021.4,240,2,515.3,145.6,,,0,0,0,0,0,0
2003,8,3,18,,7,28.4,16.8,25,1021.2,310,2,385.8,121.1,,,0,0,0,0,0,0
2003,8,3,19,,0,28,16.8,26.4,1021.1,0,0,205.8,85.3,,,0,0,0,0,0,0
2003,8,3,20,,0,26.8,18.4,40.6,1021.4,80,4,71.7,44.4,,,0,0,0,0,0,0
2003,8,3,21,,0,23.8,17.8,52.5,1022,80,9,13.3,10.8,,,0,0,0,0,0,0
2003,8,3,22,,0,21.8,17.2,60.7,1022.3,100,5,0,0,,,0,0,0,0,0,0
2003,8,3,23,,0,20.5,16.8,66.8,1022.6,80,3,0,0,,,0,0,0,0,0,0
2003,8,3,24,,0,19.4,16.5,72.8,1022.9,0,0,0,0,,,0,0,0,0,0,0
2003,8,4,1,,0,17.5,15.5,79.9,1023.2,0,0,0,0,,,0,0,0,0,0,0
2003,8,4,2,,0,15.7,14.5,87.1,1023.3,0,0,0,0,,,0,0,0,0,0,0
2003,8,4,3,,0,14.6,13.7,89.9,1023.4,0,0,0,0,,,0,0,0,0,0,0
2003,8,4,4,,0,14.2,13.4,90.9,1023.4,0,0,0,0,,,0,0,0,0,0,0
2003,8,4,5,,0,14.3,13.4,89.8,1023.7,0,0,0,0,,,0,0,0,0,0,0
2003,8,4,6,,2,14.3,13.3,88.7,1024.1,0,0,12.2,11.4,,,0,0,0,0,0,0
2003,8,4,7,,1,16.8,15.3,84.4,1024.3,50,1,79.4,58.1,,,0,0,0,0,0,0
2003,8,4,8,,1,19,16.9,79.8,1024.6,60,3,189.7,120.8,,,0,0,0,0,0,0
2003,8,4,9,,3,20.7,17.5,71.2,1024.4,80,1,352.5,151.1,,,0,0,0,0,0,0
2003,8,4,10,,6,24.1,18.6,56.4,1024.3,100,6,493.1,177.8,,,0,0,0,0,0,0
2003,8,4,11,,6,25.9,19.5,52.2,1024.1,100,7,597.2,198.9,,,0,0,0,0,0,0
2003,8,4,12,,6,27.2,19.8,47.3,1023.8,100,8,725,205.6,,,0,0,0,0,0,0
2003,8,4,13,,5,29.2,21,44.8,1023.4,100,7,756.4,208.3,,,0,0,0,0,0,0
2003,8,4,14,,4,30.8,21.9,42.8,1023.3,120,8,765.3,201.7,,,0,0,0,0,0,0
2003,8,4,15,,6,30.4,21.5,42.3,1023.2,110,4,722.8,189.2,,,0,0,0,0,0,0
2003,8,4,16,,7,31.3,22,41.2,1022.9,130,6,620.8,183.6,,,0,0,0,0,0,0
2003,8,4,17,,6,31.4,22.2,41.9,1022.7,90,5,432.2,191.4,,,0,0,0,0,0,0
2003,8,4,18,,3,30.4,21.8,44,1022.5,110,9,311.7,167.8,,,0,0,0,0,0,0
2003,8,4,19,,3,28.2,20.7,47.8,1022.6,100,10,167.2,108.1,,,0,0,0,0,0,0
2003,8,4,20,,7,26.1,19.6,51.8,1022.9,100,12,43.1,39.7,,,0,0,0,0,0,0
2003,8,4,21,,4,24.7,19.1,56.4,1023.4,100,9,5.6,5.6,,,0,0,0,0,0,0
2003,8,4,22,,0,23.3,18.3,59.2,1024.1,90,7,0,0,,,0,0,0,0,0,0
2003,8,4,23,,0,22.6,17.9,60.8,1024.3,100,9,0,0,,,0,0,0,0,0,0
2003,8,4,24,,0,21.9,17.9,65.6,1024.6,110,6,0,0,,,0,0,0,0,0,0
2003,8,5,1,,0,20.9,17.7,71.4,1024.5,90,5,0,0,,,0,0,0,0,0,0
2003,8,5,2,,0,20,17.3,75,1024.3,90,6,0,0,,,0,0,0,0,0,0
2003,8,5,3,,0,19.6,17.1,76.5,1024.7,80,3,0,0,,,0,0,0,0,0,0
2003,8,5,4,,0,19.5,17,76.4,1024.6,60,3,0,0,,,0,0,0,0,0,0
2003,8,5,5,,0,18.8,16.7,79.7,1024.3,50,3,0,0,,,0,0,0,0,0,0
2003,8,5,6,,3,18.5,16.8,83.3,1023.9,90,8,11.4,10.8,,,0,0,0,0,0,0
2003,8,5,7,,2,18.7,17.2,85.3,1025.2,10,5,70,58.3,,,0,0,0,0,0,0
2003,8,5,8,,2,20.3,18,78.8,1024.5,80,8,198.1,104.7,,,0,0,0,0,0,0
2003,8,5,9,,1,22.5,19.1,70.9,1024.3,100,7,331.7,157.5,,,0,0,0,0,0,0
2003,8,5,10,,2,25.3,20.3,61.2,1024.7,110,3,488.6,184.4,,,0,0,0,0,0,0
2003,8,5,11,,2,27.2,20.8,53.6,1024,90,8,619.2,198.1,,,0,0,0,0,0,0
2003,8,5,12,,2,29.7,20.8,41.4,1023.4,100,11,720,212.5,,,0,0,0,0,0,0
2003,8,5,13,,2,30.9,20.5,35,1023.4,120,11,760,236.7,,,0,0,0,0,0,0
2003,8,5,14,,6,30.3,20.1,35.2,1023.5,110,10,749.7,281.1,,,0,0,0,0,0,0
2003,8,5,15,,6,30.1,20,35.5,1022.8,90,13,464.2,295.6,,,0,0,0,0,0,0
2003,8,5,16,,4,30.2,19.6,33,1022.9,100,11,521.1,285.8,,,0,0,0,0,0,0
2003,8,5,17,,7,28.8,19.3,36.9,1022.9,90,13,326.9,245.8,,,0,0,0,0,0,0
2003,8,5,18,,6,28.6,18.4,32.8,1023.2,90,11,262.5,210.6,,,0,0,0,0,0,0
2003,8,5,19,,7,26.8,17.5,35.2,1023.2,70,11,139.7,123.6,,,0,0,0,0,0,0
2003,8,5,20,,6,25.2,16.9,38.9,1023.4,80,9,46.1,45.6,,,0,0,0,0,0,0
2003,8,5,21,,5,24,16.5,42.4,1022.6,90,11,5,5,,,0,0,0,0,0,0
2003,8,5,22,,0,23.3,16.1,43.4,1022.1,90,12,0,0,,,0,0,0,0,0,0
2003,8,5,23,,0,22.7,15.2,40.4,1022.3,100,8,0,0,,,0,0,0,0,0,0
2003,8,5,24,,0,22,15.6,47.3,1021.7,100,8,0,0,,,0,0,0,0,0,0
2003,8,6,1,,0,21.7,17.3,62.2,1021.3,100,8,0,0,,,0,0,0,0,0,0
2003,8,6,2,,0,21.9,17.5,62.4,1021.1,0,0,0,0,,,0,0,0,0,0,0
2003,8,6,3,,0,21.2,17.9,70.8,1020.8,80,2,0,0,,,0,0,0,0,0,0
2003,8,6,4,,0,21,17.5,68.9,1020.3,0,0,0,0,,,0,0,0,0,0,0
2003,8,6,5,,0,18.8,16.6,78.8,1020.2,0,0,0,0,,,0,0,0,0,0,0
2003,8,6,6,,2,19.3,17,78.2,1019.7,90,2,5.8,5.8,,,0,0,0,0,0,0
2003,8,6,7,,2,21.5,18.1,70.2,1019.8,100,3,80,58.6,,,0,0,0,0,0,0
2003,8,6,8,,1,23.6,19,62.6,1020.1,220,1,200,108.9,,,0,0,0,0,0,0
2003,8,6,9,,1,25.5,20,57.9,1020.3,220,2,323.3,143.6,,,0,0,0,0,0,0
2003,8,6,10,,1,27,20.4,52.1,1020.2,200,2,460.3,169.2,,,0,0,0,0,0,0
2003,8,6,11,,2,28.9,21,46.3,1020,190,3,580.8,200,,,0,0,0,0,0,0
2003,8,6,12,,2,30.7,21.9,43.3,1020,240,3,679.7,220.3,,,0,0,0,0,0,0
2003,8,6,13,,2,32.2,22.1,38.2,1019.9,270,5,716.1,226.9,,,0,0,0,0,0,0
2003,8,6,14,,1,33.2,22.4,36,1019.6,210,2,749.2,196.9,,,0,0,0,0,0,0
2003,8,6,15,,1,33.6,22,32.7,1019.4,220,5,729.7,173.1,,,0,0,0,0,0,0
2003,8,6,16,,1,34.8,22.2,29.7,1019.1,230,5,622.2,165.3,,,0,0,0,0,0,0
2003,8,6,17,,1,34.8,22.8,32.3,1018.8,270,5,500,140.6,,,0,0,0,0,0,0
2003,8,6,18,,0,33.9,21.7,30.3,1018.8,270,9,358.3,101.9,,,0,0,0,0,0,0
2003,8,6,19,,0,32.6,21.4,33.3,1018.6,270,7,205.6,73.6,,,0,0,0,0,0,0
2003,8,6,20,,0,29.1,19.3,35.8,1019.3,290,8,69.2,40,,,0,0,0,0,0,0
2003,8,6,21,,1,26.7,19,44.8,1019.6,280,6,5.8,5,,,0,0,0,0,0,0
2003,8,6,22,,0,24.8,20,62.2,1020.4,280,5,0,0,,,0,0,0,0,0,0
2003,8,6,23,,0,23.3,19.9,71.5,1020.7,280,3,0,0,,,0,0,0,0,0,0
2003,8,6,24,,0,22.4,19.4,74.1,1020.7,280,5,0,0,,,0,0,0,0,0,0
2003,8,7,1,,0,20.9,18.6,79.1,1020.7,300,1,0,0,,,0,0,0,0,0,0
2003,8,7,2,,0,19.8,18.1,83.9,1020.7,280,3,0,0,,,0,0,0,0,0,0
2003,8,7,3,,0,18.9,17.5,86.4,1020.9,290,4,0,0,,,0,0,0,0,0,0
2003,8,7,4,,0,18.2,17.2,90,1021.1,300,2,0,0,,,0,0,0,0,0,0
2003,8,7,5,,0,17.6,16.7,90.9,1021.3,300,3,0,0,,,0,0,0,0,0,0
2003,8,7,6,,1,16.9,16.2,92.7,1021.4,280,2,8.3,7.8,,,0,0,0,0,0,0
2003,8,7,7,,1,17.4,16.6,91.8,1021.8,270,1,77.8,54.7,,,0,0,0,0,0,0
2003,8,7,8,,1,18.4,16.9,85.2,1021.9,280,2,213.9,108.1,,,0,0,0,0,0,0
2003,8,7,9,,2,19.9,17.5,77.6,1022,310,8,365.6,156.1,,,0,0,0,0,0,0
2003,8,7,10,,3,20.4,17.4,72.7,1022.2,330,8,521.1,179.7,,,0,0,0,0,0,0
2003,8,7,11,,7,21.1,17.7,69.8,1022.2,310,6,645,194.4,,,0,0,0,0,0,0
2003,8,7,12,,7,22.5,18.5,66.1,1022,310,5,695,273.3,,,0,0,0,0,0,0
2003,8,7,13,,6,24.2,19.1,59.5,1021.6,310,4,699.2,290,,,0,0,0,0,0,0
2003,8,7,14,,7,26.5,20.3,54.2,1021.3,310,2,737.8,247.2,,,0,0,0,0,0,0
2003,8,7,15,,7,28.4,20.7,46.9,1021.1,350,7,689.4,226.9,,,0,0,0,0,0,0
2003,8,7,16,,7,28.2,20.6,47.2,1020.6,340,5,631.1,234.2,,,0,0,0,0,0,0
2003,8,7,17,,7,28.6,20.9,47.1,1020.3,330,5,404.7,204.2,,,0,0,0,0,0,0
2003,8,7,18,,6,29.1,21.3,47.1,1020,320,7,297.8,164.2,,,0,0,0,0,0,0
2003,8,7,19,,4,28.8,20.8,45.6,1019.8,330,5,173.3,111.7,,,0,0,0,0,0,0
2003,8,7,20,,3,27.8,19.6,43.2,1019.8,320,4,59.7,50.3,,,0,0,0,0,0,0
2003,8,7,21,,3,25.5,19.7,55.9,1020.3,320,6,6.9,6.7,,,0,0,0,0,0,0
2003,8,7,22,,3,24,19,60,1020.7,330,5,0,0,,,0,0,0,0,0,0
2003,8,7,23,,2,23.4,19,63.9,1020.8,350,5,0,0,,,0,0,0,0,0,0
2003,8,7,24,,2,22.7,18.8,67.1,1021,30,8,0,0,,,0,0,0,0,0,0
2003,8,8,1,,5,21.6,18.6,73.6,1021.2,30,6,0,0,,,0,0,0,0,0,0
2003,8,8,2,,0,20.7,18.2,77.3,1021.2,30,6,0,0,,,0,0,0,0,0,0
2003,8,8,3,,0,20.2,17.9,78.7,1020.9,30,5,0,0,,,0,0,0,0,0,0
2003,8,8,4,,0,18.5,17,85.3,1021,0,0,0,0,,,0,0,0,0,0,0
2003,8,8,5,,0,17.3,16.3,89.7,1020.8,0,0,0,0,,,0,0,0,0,0,0
2003,8,8,6,,1,16.9,16,90.7,1020.8,320,2,5.3,5.3,,,0,0,0,0,0,0
2003,8,8,7,,1,17.4,16.5,90.8,1021,320,2,64.4,55.8,,,0,0,0,0,0,0
2003,8,8,8,,1,19.3,17.8,85.6,1021.2,340,2,160.3,137.2,,,0,0,0,0,0,0
2003,8,8,9,,6,21.1,18.2,74.1,1021.1,10,5,304.7,225.8,,,0,0,0,0,0,0
2003,8,8,10,,1,23.1,19.2,67.5,1021.1,50,2,398.3,326.7,,,0,0,0,0,0,0
2003,8,8,11,,6,23.7,19.4,64.9,1020.9,230,2,557.8,373.6,,,0,0,0,0,0,0
2003,8,8,12,,2,25.1,19.9,59.6,1020.6,340,2,695.3,292.2,,,0,0,0,0,0,0
2003,8,8,13,,1,26,20.5,58.4,1020.2,330,3,741.4,271.7,,,0,0,0,0,0,0
2003,8,8,14,,1,27.3,21,54.4,1019.6,360,3,753.9,241.9,,,0,0,0,0,0,0
2003,8,8,15,,1,28.6,21.2,48.9,1019.3,330,4,706.1,220,,,0,0,0,0,0,0
2003,8,8,16,,1,29.1,21.1,46,1019.1,330,5,607.2,211.4,,,0,0,0,0,0,0
2003,8,8,17,,1,28.9,20.8,45.1,1018.9,330,4,465.3,196.1,,,0,0,0,0,0,0
2003,8,8,18,,0,28.9,21,46.3,1018.6,340,4,309.7,158.6,,,0,0,0,0,0,0
2003,8,8,19,,0,28.4,20.7,46.9,1018.4,330,5,173.1,100.3,,,0,0,0,0,0,0
2003,8,8,20,,0,27.4,20.4,50,1018.5,350,4,58.3,43.9,,,0,0,0,0,0,0
2003,8,8,21,,0,26.4,20.1,53.4,1018.9,360,2,4.7,4.7,,,0,0,0,0,0,0
2003,8,8,22,,0,23.7,19.5,65.7,1019.2,0,0,0,0,,,0,0,0,0,0,0
2003,8,8,23,,0,22.4,18.9,70.1,1019.6,0,0,0,0,,,0,0,0,0,0,0
2003,8,8,24,,0,20.7,18.2,77.3,1019.7,0,0,0,0,,,0,0,0,0,0,0
2003,8,9,1,,0,19.7,17.7,81.1,1019.8,0,0,0,0,,,0,0,0,0,0,0
2003,8,9,2,,0,18.7,17.3,86.3,1019.8,0,0,0,0,,,0,0,0,0,0,0
2003,8,9,3,,0,18.2,16.9,87,1019.7,0,0,0,0,,,0,0,0,0,0,0
2003,8,9,4,,0,17.3,16.4,90.8,1019.6,0,0,0,0,,,0,0,0,0,0,0
2003,8,9,5,,0,16.5,15.7,91.5,1019.4,0,0,0,0,,,0,0,0,0,0,0
2003,8,9,6,,0,16.1,15.4,92.5,1019.6,0,0,7.5,6.9,,,0,0,0,0,0,0
2003,8,9,7,,0,17.4,16.3,88.7,1020.1,270,2,71.9,49.4,,,0,0,0,0,0,0
2003,8,9,8,,0,19.6,18,84.8,1020,260,2,198.1,95.3,,,0,0,0,0,0,0
2003,8,9,9,,0,22.3,19.8,78.2,1020.3,250,2,350.6,130.3,,,0,0,0,0,0,0
2003,8,9,10,,0,25.4,20.9,64.9,1020.3,230,1,495.3,155.3,,,0,0,0,0,0,0
2003,8,9,11,,0,27.6,22,59.3,1019.7,250,2,624.7,166.7,,,0,0,0,0,0,0
2003,8,9,12,,0,29,21.5,48.8,1019.4,220,3,720.6,164.7,,,0,0,0,0,0,0
2003,8,9,13,,0,30.8,21.4,40.2,1019.1,240,5,776.9,155.3,,,0,0,0,0,0,0
2003,8,9,14,,0,32.5,21.4,33.6,1018.6,230,3,780.6,146.9,,,0,0,0,0,0,0
2003,8,9,15,,0,33.9,21.2,28.1,1018.1,240,4,726.4,145.8,,,0,0,0,0,0,0
2003,8,9,16,,0,34.2,21,26.3,1017.7,220,3,623.6,151.1,,,0,0,0,0,0,0
2003,8,9,17,,0,35,21.6,26.5,1017.2,200,4,495,136.4,,,0,0,0,0,0,0
