Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
2003,1,3,17,,7,3.6,2.5,81.3,1000.2,30,10,4.2,3.9,,,0,0,0,0,0,0
2003,1,3,18,,7,3.4,2.1,77.8,1001,30,12,0,0,,,0,0,0,0,0,0
2003,1,3,19,,7,3.5,2.3,79.6,1001.8,20,7,0,0,,,0,0,0,0,0,0
2003,1,3,20,,7,3.7,2.6,81.5,1002.5,360,6,0,0,,,0,0,0,0,0,0
2003,1,3,21,,8,3.8,2.4,76.6,1003.4,360,8,0,0,,,0,0,0,0,0,0
2003,1,3,22,,7,3,1.8,79.2,1004.1,10,10,0,0,,,0,0,0,0,0,0
2003,1,3,23,,5,2.2,1.2,81.8,1005,360,9,0,0,,,0,0,0,0,0,0
2003,1,3,24,,4,1.3,0.5,84.9,1005.9,360,9,0,0,,,0,0,0,0,0,0
2003,1,4,1,,3,0.9,0.2,86.5,1006.3,360,9,0,0,,,0,0,0,0,0,0
2003,1,4,2,,5,1.1,0.4,86.6,1006.7,10,9,0,0,,,0,0,0,0,0,0
2003,1,4,3,,5,1.1,0.4,86.6,1007.1,350,7,0,0,,,0,0,0,0,0,0
2003,1,4,4,,5,1,0.3,86.5,1007.5,360,9,0,0,,,0,0,0,0,0,0
2003,1,4,5,,7,1,0.3,86.5,1007.9,360,9,0,0,,,0,0,0,0,0,0
2003,1,4,6,,8,1,0.3,86.5,1008.2,360,13,0,0,,,0,0,0,0,0,0
2003,1,4,7,,8,0.9,0.3,88.3,1008.9,360,9,0,0,,,0,0,0,0,0,0
2003,1,4,8,,NA,0.6,0.2,92.2,1010.1,10,8,0,0,,,0,0,0,0,0,0
2003,1,4,9,,7,1.2,0.6,88.6,1011.1,10,8,0,0,,,0,0,0,0,0,0
2003,1,4,10,,7,1.5,0.8,86.6,1012.1,20,9,24.7,23.3,,,0,0,0,0,0,0
2003,1,4,11,,5,2.1,0.6,72.7,1013,20,8,113.9,73.6,,,0,0,0,0,0,0
2003,1,4,12,,1,2.7,1,69.9,1014,20,8,152.2,51.7,,,0,0,0,0,0,0
2003,1,4,13,,1,3.3,0.9,59,1014.3,40,12,243.3,63.9,,,0,0,0,0,0,0
2003,1,4,14,,1,3.5,0.8,54.5,1014.9,30,10,187.8,71.9,,,0,0,0,0,0,0
2003,1,4,15,,2,3.6,0.7,51.6,1015.3,30,13,190.8,69.4,,,0,0,0,0,0,0
2003,1,4,16,,3,3.2,0.8,58.8,1016.1,360,9,106.9,59.7,,,0,0,0,0,0,0
2003,1,4,17,,5,3,0.8,61.7,1016.6,340,7,33.1,23.3,,,0,0,0,0,0,0
2003,1,4,18,,5,1.7,0.1,70.2,1016.8,320,6,0.6,0.3,,,0,0,0,0,0,0
2003,1,4,19,,7,2.4,0.7,69.6,1017.2,320,8,0,0,,,0,0,0,0,0,0
2003,1,4,20,,7,2.4,0.8,71.2,1017.6,330,11,0,0,,,0,0,0,0,0,0
2003,1,4,21,,2,1.6,0.3,75.5,1018.1,340,7,0,0,,,0,0,0,0,0,0
2003,1,4,22,,0,0.9,0,82.5,1018.6,350,5,0,0,,,0,0,0,0,0,0
2003,1,4,23,,0,0.1,-0.6,86.2,1018.7,340,6,0,0,,,0,0,0,0,0,0
2003,1,4,24,,0,-0.5,-1.1,87.3,1018.7,350,5,0,0,,,0,0,0,0,0,0
2003,1,5,1,,0,-0.6,-1.1,89.1,1018.5,350,5,0,0,,,0,0,0,0,0,0
2003,1,5,2,,0,-1.2,-1.7,88.2,1018.1,350,4,0,0,,,0,0,0,0,0,0
2003,1,5,3,,0,-0.6,-1.1,89.1,1018.1,10,3,0,0,,,0,0,0,0,0,0
2003,1,5,4,,0,-2.5,-3,86.4,1018.3,0,0,0,0,,,0,0,0,0,0,0
2003,1,5,5,,0,-2.7,-3.1,88.4,1018.2,0,0,0,0,,,0,0,0,0,0,0
2003,1,5,6,,0,-3.3,-3.7,87.7,1018,0,0,0,0,,,0,0,0,0,0,0
2003,1,5,7,,0,-3.8,-4.2,87,1017.8,0,0,0,0,,,0,0,0,0,0,0
2003,1,5,8,,1,-3.7,-4,89.2,1017.5,0,0,0,0,,,0,0,0,0,0,0
2003,1,5,9,,1,-4.1,-4.3,91.1,1017.4,0,0,0,0,,,0,0,0,0,0,0
2003,1,5,10,,3,-3,-3.2,92.4,1017,0,0,18.6,16.7,,,0,0,0,0,0,0
2003,1,5,11,,1,-1.8,-2.1,91.8,1016.8,0,0,71.4,44.7,,,0,0,0,0,0,0
2003,1,5,12,,1,0.5,-0.4,82.8,1016.3,270,1,193.3,48.9,,,0,0,0,0,0,0
2003,1,5,13,,1,1.7,0.6,79.5,1015.5,300,2,234.4,50.6,,,0,0,0,0,0,0
2003,1,5,14,,1,3,1.7,77.3,1014.8,320,2,234.7,60,,,0,0,0,0,0,0
2003,1,5,15,,2,4,2.3,71.7,1014.2,20,4,175.8,84.4,,,0,0,0,0,0,0
2003,1,5,16,,2,3.8,2.4,76.4,1014,360,2,88.1,45.6,,,0,0,0,0,0,0
2003,1,5,17,,4,3,1.8,79,1013.9,30,6,23.6,17.5,,,0,0,0,0,0,0
2003,1,5,18,,1,1.8,1.1,86.9,1013.7,40,3,0,0,,,0,0,0,0,0,0
2003,1,5,19,,1,0.5,0,89.9,1013.9,20,4,0,0,,,0,0,0,0,0,0
2003,1,5,20,,1,0.8,0.3,90.1,1014.3,360,3,0,0,,,0,0,0,0,0,0
2003,1,5,21,,2,0.4,-0.2,87.8,1014.7,10,5,0,0,,,0,0,0,0,0,0
2003,1,5,22,,5,0.6,0.2,92.2,1014.7,20,7,0,0,,,0,0,0,0,0,0
2003,1,5,23,,7,0.5,0.2,94,1014.5,20,6,0,0,,,0,0,0,0,0,0
2003,1,5,24,,8,0.7,0.4,94.1,1014.5,30,6,0,0,,,0,0,0,0,0,0
