timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff
204,25.16,14.6,16.04,23.9340388
205,25.16,14.6,16.04,31.52101695
206,25.16,29.8,35.01,30.28703414
207,25.16,29.8,35.01,27.92048197
208,25.16,29.8,35.01,23.31633427
209,25.16,29.8,35.01,18.91770563
210,25.16,29.8,35.01,30.81982713
211,25.16,29.8,35.01,29.16636893
212,25.16,29.8,35.01,23.75698867
213,25.16,29.8,35.01,29.73063995
214,25.16,29.8,35.01,17.67228084
215,25.16,29.8,35.01,24.23923335
216,25.16,29.8,35.01,22.41649865
217,25.16,29.8,35.01,22.16913578
218,25.16,29.8,35.01,22.15889689
219,25.16,29.8,16.04,18.14155643
220,25.16,29.8,16.04,11.38866114
221,25.16,29.8,16.04,9.31032017
222,25.16,29.8,16.04,23.80398855
223,25.16,29.8,16.04,17.41096603
224,25.16,29.8,16.04,23.2368982
225,25.16,29.8,35.01,18.17221919
226,25.16,29.8,35.01,14.03700334
227,25.16,29.8,35.01,20.73598138
228,25.16,29.8,35.01,24.70800979
229,25.16,29.8,35.01,16.31906888
230,25.16,29.8,35.01,15.58862053
231,25.16,29.8,35.01,23.3389862
232,25.16,29.8,35.01,18.75031244
233,25.16,29.8,35.01,20.03878534
234,25.16,29.8,35.01,14.63715072
235,25.16,29.8,35.01,28.10756335
236,25.16,29.8,35.01,13.94685903
237,25.16,29.8,35.01,4.996143286
238,25.16,29.8,35.01,14.50346497
239,25.16,29.8,35.01,19.26309894
240,25.16,14.6,16.04,10.49000655
241,25.16,14.6,16.04,9.392026171
242,25.16,14.6,16.04,14.01111726
243,25.16,14.6,16.04,9.012057113
244,25.16,14.6,16.04,19.71948435
245,25.16,14.6,16.04,19.23470721
246,25.16,14.6,16.04,18.65028156
247,25.16,14.6,16.04,13.42891226
248,25.16,14.6,16.04,9.396350462
249,25.16,14.6,16.04,8.886017906
250,25.16,14.6,16.04,16.32389623
251,25.16,14.6,16.04,21.62884311
252,25.16,14.6,16.04,22.607773
253,25.16,14.6,16.04,29.7743311
254,25.16,29.8,35.01,28.60872744
255,25.16,29.8,35.01,26.37331391
256,25.16,29.8,35.01,22.02429756
257,25.16,29.8,35.01,17.86941176
258,25.16,29.8,35.01,29.11199658
259,25.16,29.8,35.01,27.55016207
260,25.16,29.8,35.01,22.44053382
261,25.16,29.8,35.01,28.08316493
262,25.16,29.8,35.01,16.69300017
263,25.16,29.8,35.01,22.89605569
264,25.16,29.8,35.01,21.17432487
265,25.16,29.8,35.01,20.9406692
266,25.16,29.8,35.01,20.93099768
267,25.16,29.8,16.04,17.13627161
268,25.16,29.8,16.04,10.75757702
269,25.16,29.8,16.04,8.794403933
270,25.16,29.8,16.04,22.48492927
271,25.16,29.8,16.04,16.44616569
272,25.16,29.8,16.04,21.94926331
273,25.16,29.8,35.01,17.16523524
274,25.16,29.8,35.01,13.25916565
275,25.16,29.8,35.01,19.58693073
276,25.16,29.8,35.01,23.33885565
277,25.16,29.8,35.01,15.41477424
278,25.16,29.8,35.01,14.7248025
279,25.16,29.8,35.01,22.04569427
280,25.16,29.8,35.01,17.71129439
281,25.16,29.8,35.01,18.92836866
282,25.16,29.8,35.01,13.82605684
283,25.16,29.8,35.01,26.55002848
284,25.16,29.8,35.01,13.31339773
285,25.16,29.8,35.01,4.769220264
286,25.16,29.8,35.01,13.84472283
287,25.16,29.8,35.01,18.38817595
288,25.16,14.6,16.04,10.8554885
289,25.16,14.6,16.04,9.719253418
290,25.16,14.6,16.04,14.49927809
291,25.16,14.6,16.04,9.326045872
292,25.16,14.6,16.04,20.4065302
293,25.16,14.6,16.04,19.90486295
294,25.16,14.6,16.04,19.30007535
295,25.16,14.6,16.04,13.89678852
296,25.16,14.6,16.04,9.723728371
297,25.16,14.6,16.04,9.195615338
298,25.16,14.6,16.04,16.89263651
299,25.16,14.6,16.04,22.38241286
300,25.16,14.6,16.04,23.57893025
301,25.16,14.6,16.04,31.05334066
302,25.16,29.8,35.01,29.83766641
303,25.16,29.8,35.01,27.5062267
304,25.16,29.8,35.01,22.97039059
305,25.16,29.8,35.01,18.63702425
306,25.16,29.8,35.01,30.36255437
307,25.16,29.8,35.01,28.73362848
308,25.16,29.8,35.01,23.40450701
309,25.16,29.8,35.01,29.28952742
310,25.16,29.8,35.01,17.41007779
311,25.16,29.8,35.01,23.87959664
312,25.16,29.8,35.01,22.0839058
313,25.16,29.8,35.01,21.84021304
314,25.16,29.8,35.01,21.83012606
315,25.16,29.8,16.04,17.87239076
316,25.16,29.8,16.04,11.21968795
317,25.16,29.8,16.04,9.172183255
318,25.16,29.8,16.04,23.45080955
319,25.16,29.8,16.04,17.1526401
320,25.16,29.8,16.04,22.89213311
321,25.16,29.8,35.01,17.90259857
322,25.16,29.8,35.01,13.82873678
323,25.16,29.8,35.01,20.42832231
324,25.16,29.8,35.01,24.34141786
325,25.16,29.8,35.01,16.07694339
326,25.16,29.8,35.01,15.35733268
327,25.16,29.8,35.01,22.99270643
328,25.16,29.8,35.01,18.47211467
329,25.16,29.8,35.01,19.74147054
330,25.16,29.8,35.01,14.4199798
331,25.16,29.8,35.01,27.69053235
332,25.16,29.8,35.01,13.77724935
333,25.16,29.8,35.01,4.935384497
334,25.16,29.8,35.01,14.32708632
335,25.16,29.8,35.01,19.02883773
336,25.16,14.6,16.04,11.08535701
337,25.16,14.6,16.04,9.925061782
338,25.16,14.6,16.04,14.80630504
339,25.16,14.6,16.04,9.523527938
340,25.16,14.6,16.04,20.83864514
341,25.16,14.6,16.04,20.32635492
342,25.16,14.6,16.04,19.70876074
343,25.16,14.6,16.04,14.19105755
344,25.16,14.6,16.04,9.929631493
345,25.16,14.6,16.04,9.390335494
346,25.16,14.6,16.04,17.2503436
347,25.16,14.6,16.04,22.85636775
348,25.16,14.6,16.04,24.189736
349,25.16,14.6,16.04,31.85776897
350,25.16,29.8,35.01,30.61060301
351,25.16,29.8,35.01,28.21876799
352,25.16,29.8,35.01,23.56543229
353,25.16,29.8,35.01,19.11981128
354,25.16,29.8,35.01,31.14908805
355,25.16,29.8,35.01,29.47796528
356,25.16,29.8,35.01,24.01079438
357,25.16,29.8,35.01,30.04826464
358,25.16,29.8,35.01,17.86108111
359,25.16,29.8,35.01,24.49819107
360,25.16,29.8,35.01,22.65598335
361,25.16,29.8,35.01,22.40597779
362,25.16,29.8,35.01,22.39562952
363,25.16,29.8,16.04,18.33537016
364,25.16,29.8,16.04,11.5103309
365,25.16,29.8,16.04,9.409786159
366,25.16,29.8,16.04,24.05829637
367,25.16,29.8,16.04,17.59697456
368,25.16,29.8,16.04,23.48514757
369,25.16,29.8,35.01,18.3663605
370,25.16,29.8,35.01,14.18696643
371,25.16,29.8,35.01,20.95751242
372,25.16,29.8,35.01,24.97197565
373,25.16,29.8,35.01,16.49341222
374,25.16,29.8,35.01,15.7551602
375,25.16,29.8,35.01,23.58832621
376,25.16,29.8,35.01,18.95062976
377,25.16,29.8,35.01,20.25286794
378,25.16,29.8,35.01,14.79352544
379,25.16,29.8,35.01,28.40784804
380,25.16,29.8,35.01,14.0689871
381,25.16,29.8,35.01,5.039892875
