timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff,Export Tariff
257,25.16,29.8,35.01,17.86941176,10.00
258,25.16,29.8,35.01,29.11199658,10.00
259,25.16,29.8,35.01,27.55016207,10.00
260,25.16,29.8,35.01,22.44053382,10.00
261,25.16,29.8,35.01,28.08316493,10.00
262,25.16,29.8,35.01,16.69300017,10.00
263,25.16,29.8,35.01,22.89605569,10.00
264,25.16,29.8,35.01,21.17432487,10.00
265,25.16,29.8,35.01,20.9406692,10.00
266,25.16,29.8,35.01,20.93099768,10.00
267,25.16,29.8,16.04,17.13627161,10.00
268,25.16,29.8,16.04,10.75757702,10.00
269,25.16,29.8,16.04,8.794403933,10.00
270,25.16,29.8,16.04,22.48492927,10.00
271,25.16,29.8,16.04,16.44616569,10.00
272,25.16,29.8,16.04,21.94926331,10.00
273,25.16,29.8,35.01,17.16523524,10.00
274,25.16,29.8,35.01,13.25916565,10.00
275,25.16,29.8,35.01,19.58693073,10.00
276,25.16,29.8,35.01,23.33885565,10.00
277,25.16,29.8,35.01,15.41477424,10.00
278,25.16,29.8,35.01,14.7248025,10.00
279,25.16,29.8,35.01,22.04569427,10.00
280,25.16,29.8,35.01,17.71129439,10.00
281,25.16,29.8,35.01,18.92836866,10.00
282,25.16,29.8,35.01,13.82605684,10.00
283,25.16,29.8,35.01,26.55002848,10.00
284,25.16,29.8,35.01,13.31339773,10.00
285,25.16,29.8,35.01,4.769220264,10.00
286,25.16,29.8,35.01,13.84472283,10.00
287,25.16,29.8,35.01,18.38817595,10.00
288,25.16,14.6,16.04,10.8554885,10.00
289,25.16,14.6,16.04,9.719253418,10.00
290,25.16,14.6,16.04,14.49927809,10.00
291,25.16,14.6,16.04,9.326045872,10.00
292,25.16,14.6,16.04,20.4065302,10.00
293,25.16,14.6,16.04,19.90486295,10.00
294,25.16,14.6,16.04,19.30007535,10.00
295,25.16,14.6,16.04,13.89678852,10.00
296,25.16,14.6,16.04,9.723728371,10.00
297,25.16,14.6,16.04,9.195615338,10.00
298,25.16,14.6,16.04,16.89263651,10.00
299,25.16,14.6,16.04,22.38241286,10.00
300,25.16,14.6,16.04,23.57893025,10.00
301,25.16,14.6,16.04,31.05334066,10.00
302,25.16,29.8,35.01,29.83766641,10.00
303,25.16,29.8,35.01,27.5062267,10.00
304,25.16,29.8,35.01,22.97039059,10.00
305,25.16,29.8,35.01,18.63702425,10.00
306,25.16,29.8,35.01,30.36255437,10.00
307,25.16,29.8,35.01,28.73362848,10.00
308,25.16,29.8,35.01,23.40450701,10.00
309,25.16,29.8,35.01,29.28952742,10.00
310,25.16,29.8,35.01,17.41007779,10.00
311,25.16,29.8,35.01,23.87959664,10.00
312,25.16,29.8,35.01,22.0839058,10.00
313,25.16,29.8,35.01,21.84021304,10.00
314,25.16,29.8,35.01,21.83012606,10.00
315,25.16,29.8,16.04,17.87239076,10.00
316,25.16,29.8,16.04,11.21968795,10.00
317,25.16,29.8,16.04,9.172183255,10.00
318,25.16,29.8,16.04,23.45080955,10.00
319,25.16,29.8,16.04,17.1526401,10.00
320,25.16,29.8,16.04,22.89213311,10.00
321,25.16,29.8,35.01,17.90259857,10.00
322,25.16,29.8,35.01,13.82873678,10.00
323,25.16,29.8,35.01,20.42832231,10.00
324,25.16,29.8,35.01,24.34141786,10.00
325,25.16,29.8,35.01,16.07694339,10.00
326,25.16,29.8,35.01,15.35733268,10.00
327,25.16,29.8,35.01,22.99270643,10.00
328,25.16,29.8,35.01,18.47211467,10.00
329,25.16,29.8,35.01,19.74147054,10.00
330,25.16,29.8,35.01,14.4199798,10.00
331,25.16,29.8,35.01,27.69053235,10.00
332,25.16,29.8,35.01,13.77724935,10.00
333,25.16,29.8,35.01,4.935384497,10.00
334,25.16,29.8,35.01,14.32708632,10.00
335,25.16,29.8,35.01,19.02883773,10.00
336,25.16,14.6,16.04,11.08535701,10.00
337,25.16,14.6,16.04,9.925061782,10.00
338,25.16,14.6,16.04,14.80630504,10.00
339,25.16,14.6,16.04,9.523527938,10.00
340,25.16,14.6,16.04,20.83864514,10.00
341,25.16,14.6,16.04,20.32635492,10.00
342,25.16,14.6,16.04,19.70876074,10.00
343,25.16,14.6,16.04,14.19105755,10.00
344,25.16,14.6,16.04,9.929631493,10.00
345,25.16,14.6,16.04,9.390335494,10.00
346,25.16,14.6,16.04,17.2503436,10.00
347,25.16,14.6,16.04,22.85636775,10.00
348,25.16,14.6,16.04,24.189736,10.00
349,25.16,14.6,16.04,31.85776897,10.00
350,25.16,29.8,35.01,30.61060301,10.00
351,25.16,29.8,35.01,28.21876799,10.00
352,25.16,29.8,35.01,23.56543229,10.00
353,25.16,29.8,35.01,19.11981128,10.00
354,25.16,29.8,35.01,31.14908805,10.00
355,25.16,29.8,35.01,29.47796528,10.00
356,25.16,29.8,35.01,24.01079438,10.00
357,25.16,29.8,35.01,30.04826464,10.00
358,25.16,29.8,35.01,17.86108111,10.00
359,25.16,29.8,35.01,24.49819107,10.00
360,25.16,29.8,35.01,22.65598335,10.00
361,25.16,29.8,35.01,22.40597779,10.00
362,25.16,29.8,35.01,22.39562952,10.00
363,25.16,29.8,16.04,18.33537016,10.00
364,25.16,29.8,16.04,11.5103309,10.00
365,25.16,29.8,16.04,9.409786159,10.00
366,25.16,29.8,16.04,24.05829637,10.00
367,25.16,29.8,16.04,17.59697456,10.00
368,25.16,29.8,16.04,23.48514757,10.00
369,25.16,29.8,35.01,18.3663605,10.00
370,25.16,29.8,35.01,14.18696643,10.00
371,25.16,29.8,35.01,20.95751242,10.00
372,25.16,29.8,35.01,24.97197565,10.00
373,25.16,29.8,35.01,16.49341222,10.00
374,25.16,29.8,35.01,15.7551602,10.00
375,25.16,29.8,35.01,23.58832621,10.00
376,25.16,29.8,35.01,18.95062976,10.00
377,25.16,29.8,35.01,20.25286794,10.00
378,25.16,29.8,35.01,14.79352544,10.00
379,25.16,29.8,35.01,28.40784804,10.00
380,25.16,29.8,35.01,14.0689871,10.00
381,25.16,29.8,35.01,5.039892875,10.00
382,25.16,29.8,35.01,14.63046705,10.00
383,25.16,29.8,35.01,19.43177958,10.00
384,25.16,14.6,16.04,10.44442645,10.00
385,25.16,14.6,16.04,9.351216902,10.00
386,25.16,14.6,16.04,13.95023759,10.00
387,25.16,14.6,16.04,8.972898847,10.00
388,25.16,14.6,16.04,19.63380127,10.00
389,25.16,14.6,16.04,19.15113053,10.00
390,25.16,14.6,16.04,18.56924426,10.00
391,25.16,14.6,16.04,13.37056233,10.00
392,25.16,14.6,16.04,9.355522403,10.00
393,25.16,14.6,16.04,8.847407292,10.00
394,25.16,14.6,16.04,16.25296731,10.00
395,25.16,14.6,16.04,21.53486368,10.00
396,25.16,14.6,16.04,22.48665772,10.00
397,25.16,14.6,16.04,29.61482286,10.00
398,25.16,29.8,35.01,28.45546361,10.00
